"281470719039257","281470719039257","VPN","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Internet Utilities Europe and Asia Limited","cyberassets.ae","DCH","61317","Hivelocity LLC","19","-","-","94"
"281470719067015","281470719067015","RES","ES","Spain","Catalunya","Cruilles","Gurbtec Iguana Telecom SL","connectafibra.cat","ISP","208909","Gurbtec Iguana Telecom SL","22","-","-","39"
"281470719106623","281470719106623","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Cyber Assets Fzco","cyberassets.ae","DCH","396356","Latitude.sh","30","-","-","80"
"281470719142185","281470719142186","VPN","US","United States of America","California","Los Angeles","Bunny Communications LLC","bunnycommunications.com","DCH","5065","Bunny Communications","19","-","Hex Proxies","94"
"281470719179779","281470719179779","DCH","US","United States of America","Colorado","Denver","MB Ipumanija","isif.net","DCH","212238","DataCamp Limited","1","-","-","3"
"281470719221038","281470719221038","VPN","UA","Ukraine","Kyiv","Kyiv","OneHostPlanet s.r.o.","onehostplanet.com","DCH","209155","OneHostPlanet s.r.o.","1","SPAM/SCANNER","-","99"
"281470719292107","281470719292145","DCH","RU","Russian Federation","Altay, Respublika","Gorno-Altaysk","Webstream","sibnet.ru","DCH","12389","PJSC Rostelecom","1","-","-","3"
"281470719367696","281470719367696","RES","RU","Russian Federation","Kemerovskaya oblast'","Karagayla","OJSC Rostelecom","rostelecom.ru","ISP/MOB","12389","PJSC Rostelecom","20","-","-","41"
"281470719472904","281470719472904","RES","RU","Russian Federation","Krasnodarskiy kray","Taman'","Miranda Media Net","miranda-media.net","ISP/MOB","201776","Miranda-Media Ltd","16","-","-","45"
"281470719490730","281470719490730","RES","RU","Russian Federation","Sankt-Peterburg","Saint Petersburg","JSC Rostelecom . Rostov","rostelecom.ru","ISP","12389","PJSC Rostelecom","24","-","-","37"
"281470720032064","281470720032064","RES","KZ","Kazakhstan","Zhetisu oblysy","Zharkent","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","29","-","-","32"
"281470720111861","281470720111861","RES","KZ","Kazakhstan","Almaty","Almaty","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","28","-","-","33"
"281470720254928","281470720254928","RES","KZ","Kazakhstan","Qaraghandy oblysy","Karagandy","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","5","-","-","56"
"281470720334162","281470720334162","RES","KZ","Kazakhstan","Astana","Astana","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","24","-","-","37"
"281470720505178","281470720505178","RES","KZ","Kazakhstan","Mangghystau oblysy","Omirzaq","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","26","-","-","35"
"281470720589932","281470720589932","RES","PT","Portugal","Porto","Porto","PT Comunicacoes S.A.","telepac.pt","ISP/MOB","3243","MEO - Servicos de Comunicacoes e Multimedia S.A.","29","-","-","32"
"281470720686667","281470720686667","RES","PT","Portugal","Viseu","Lamego","PT Comunicacoes S.A.","telepac.pt","ISP/MOB","3243","MEO - Servicos de Comunicacoes e Multimedia S.A.","10","-","-","51"
"281470720780658","281470720780658","RES","PT","Portugal","Leiria","Benedita","PT Comunicacoes S.A.","telepac.pt","ISP/MOB","3243","MEO - Servicos de Comunicacoes e Multimedia S.A.","22","-","-","39"
"281470720899363","281470720899363","RES","GR","Greece","Kentriki Makedonia","Katerini","Otenet","otenet.gr","ISP/MOB","6799","Ote SA (Hellenic Telecommunications Organisation)","28","-","-","33"
"281470720990297","281470720990297","RES","GR","Greece","Attiki","Athens","Otenet","otenet.gr","ISP/MOB","6799","Ote SA (Hellenic Telecommunications Organisation)","7","-","-","54"
"281470721088287","281470721088287","RES","SA","Saudi Arabia","Ar Riyad","Al Kharj","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","13","-","-","48"
"281470721101325","281470721101325","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","26","-","-","35"
"281470721118012","281470721118012","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","18","-","-","43"
"281470721140886","281470721140886","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","12","-","-","49"
"281470721171446","281470721171446","RES","SA","Saudi Arabia","Ash Sharqiyah","Dhahran","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","18","-","-","43"
"281470721210441","281470721210441","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","17","-","-","44"
"281470721220465","281470721220465","RES","SA","Saudi Arabia","Al Bahah","Al Bahah","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","27","-","-","34"
"281470721229986","281470721229986","RES","SA","Saudi Arabia","Jazan","Samitah","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","18","-","-","43"
"281470721246223","281470721246223","RES","SA","Saudi Arabia","Makkah al Mukarramah","Jeddah","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","7","-","-","54"
"281470721250265","281470721250265","RES","SA","Saudi Arabia","Jazan","Abu 'Arish","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","27","-","-","34"
"281470721254331","281470721254331","RES","SA","Saudi Arabia","Makkah al Mukarramah","Jeddah","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","23","-","-","38"
"281470721258444","281470721258444","RES","SA","Saudi Arabia","Makkah al Mukarramah","Mecca","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","14","-","-","47"
"281470721274313","281470721274313","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","13","-","-","48"
"281470721313724","281470721313724","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","19","-","-","42"
"281470721625407","281470721625407","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Sheffield","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","16","-","-","45"
