"281470721086408","281470721086408","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","11","-","-"
"281470721099157","281470721099157","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","24","-","-"
"281470721116619","281470721116619","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","25","-","-"
"281470721140547","281470721140547","RES","SA","Saudi Arabia","Jazan","Misliyah","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","22","-","-"
"281470721169883","281470721169883","RES","SA","Saudi Arabia","Ash Sharqiyah","Dhahran","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","27","-","-"
"281470721200060","281470721200060","RES","SA","Saudi Arabia","Makkah al Mukarramah","Jeddah","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","3","-","-"
"281470721214527","281470721214527","RES","SA","Saudi Arabia","'Asir","Abha","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","18","-","-"
"281470721217527","281470721217527","RES","SA","Saudi Arabia","Makkah al Mukarramah","Mecca","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","24","-","-"
"281470721220782","281470721220782","RES","SA","Saudi Arabia","'Asir","Abha","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","3","-","-"
"281470721223976","281470721223976","RES","SA","Saudi Arabia","Makkah al Mukarramah","Mecca","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","25","-","-"
"281470721226910","281470721226910","RES","SA","Saudi Arabia","Najran","Najran","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","16","-","-"
"281470721250656","281470721250656","RES","SA","Saudi Arabia","Jazan","Abu 'Arish","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","39891","Saudi Telecom Company JSC","11","-","-"
"281470721306252","281470721306252","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","19","-","-"
"281470721326232","281470721326232","RES","SA","Saudi Arabia","Ar Riyad","Riyadh","Saudi Telecom Company JSC","stc.com.sa","ISP/MOB","25019","Saudi Telecom Company JSC","19","-","-"
"281470721692641","281470721692641","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Hounslow","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","24","-","-"
"281470721804180","281470721804180","RES","GB","United Kingdom of Great Britain and Northern Ireland","Scotland","Glasgow","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","6","-","-"
"281470721911831","281470721911831","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","York","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","29","-","-"
"281470722035553","281470722035553","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Liverpool","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","23","-","-"
"281470722851336","281470722851343","DCH","IT","Italy","Emilia-Romagna","Sorbolo","Cup 2000 SpA","lepida.net","DCH","3269","Telecom Italia S.p.A.","1","-","-"
"281470723211471","281470723211471","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Brighton","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","10","-","-"
"281470723326083","281470723326083","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","28","-","-"
"281470723441345","281470723441345","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","11","-","-"
"281470723552856","281470723552856","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","1","-","-"
"281470723725306","281470723725306","RES","DK","Denmark","Syddanmark","Rudkobing","Telenor A/S","telenor.dk","ISP/MOB","9158","Telenor A/S","2","-","-"
"281470723977235","281470723977235","RES","KZ","Kazakhstan","Almaty","Pervomayskiy","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","8","-","-"
"281470724008324","281470724008324","RES","KZ","Kazakhstan","Soltustik Qazaqstan oblysy","Timiryazevo","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","27","-","-"
"281470724046102","281470724046102","RES","KZ","Kazakhstan","Aqtobe oblysy","Aktobe","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","3","-","-"
"281470724096478","281470724096478","RES","KZ","Kazakhstan","Abay oblysy","Semey","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","4","-","-"
"281470724137521","281470724137521","RES","KZ","Kazakhstan","Shyghys Qazaqstan oblysy","Ridder","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","16","-","-"
"281470724186637","281470724186637","RES","KZ","Kazakhstan","Aqtobe oblysy","Aktobe","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","29","-","-"
"281470724308136","281470724308136","RES","ES","Spain","Canarias","Santa Cruz de Tenerife","Telefonica de Espana Sau","telefonica.com","ISP/MOB","3352","Telefonica de Espana S.A.U.","15","-","-"
