"281470927710162","281470927710162","VPN","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","Vietnam Posts and Telecommunications Group"
"281470941547298","281470941547321","DCH","US","United States of America","Texas","Spring","Hewlett Packard Enterprise Company"
"281470943790080","281470943790335","DCH","US","United States of America","Washington","Seattle","Amazon.com Inc."
"281470945309034","281470945309034","VPN","US","United States of America","Virginia","Ashburn","Amazon Data Services NoVa"
"281470946773141","281470946773141","VPN","US","United States of America","Oregon","Hillsboro","OVH US LLC"
"281470946806698","281470946806698","DCH","US","United States of America","Virginia","Reston","OVH US LLC"
"281470946925401","281470946925401","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India"
"281470947967416","281470947968323","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada"
"281470948520704","281470948520727","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470948838612","281470948838613","DCH","SG","Singapore","Singapore","Singapore","OVH Singapore Pte. Ltd"
"281470948842194","281470948842203","DCH","CA","Canada","Quebec","Montreal","HTTVServer"
"281470948846859","281470948846863","DCH","CA","Canada","Quebec","Montreal","OVH Singapore Pte. Ltd"
"281470948850334","281470948850334","PUB","CA","Canada","Quebec","Montreal","OVH Singapore Pte. Ltd"
"281470948853756","281470948853756","PUB","CA","Canada","Quebec","Montreal","OVH Singapore Pte. Ltd"
"281470948857022","281470948857024","DCH","SG","Singapore","Singapore","Singapore","OVH Singapore Pte. Ltd"
"281470948860372","281470948860373","DCH","CA","Canada","Quebec","Montreal","OVH Singapore Pte. Ltd"
"281470948963397","281470948963607","DCH","FR","France","Ile-de-France","Paris","Amazon Technologies Inc."
"281470950983424","281470950983679","DCH","MX","Mexico","Ciudad de Mexico","Mexico City","Amazon.com Inc."
"281470957139806","281470957139806","PUB","HK","Hong Kong","Hong Kong","Hong Kong","Amazon.com Inc."
"281470961416495","281470961416495","PUB","SE","Sweden","Stockholms lan","Stockholm","Amazon.com Inc."
"281470967051771","281470967054335","DCH","US","United States of America","California","Cupertino","Apple Inc."
"281470968462601","281470968462602","SES","US","United States of America","California","Cupertino","Apple Inc."
"281470970728458","281470970728499","DCH","US","United States of America","California","Cupertino","Apple Inc."
"281470972309504","281470972309759","DCH","US","United States of America","California","Cupertino","Apple Inc."
