"71664683","71664688","DCH","US","United States of America","District of Columbia","Washington","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"71672883","71672884","DCH","US","United States of America","Colorado","Denver","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"71684289","71684289","DCH","US","United States of America","Missouri","Saint Louis","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"71689930","71689930","DCH","US","United States of America","Hawaii","Honolulu","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"71798463","71798496","DCH","US","United States of America","California","San Diego","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"72317184","72317217","DCH","US","United States of America","Arizona","Phoenix","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"76587424","76589296","DCH","SG","Singapore","Singapore","Singapore","Microsoft Corporation","microsoft.com","DCH","8075","Microsoft Corporation"
"79491769","79495167","DCH","IN","India","Maharashtra","Pune","Microsoft Corporation","microsoft.com","DCH","8075","Microsoft Corporation"
"81122021","81124407","DCH","IN","India","Maharashtra","Pune","Microsoft Corporation","microsoft.com","DCH","8075","Microsoft Corporation"
"82403286","82403286","PUB","FR","France","Ile-de-France","Paris","Microsoft Corporation","microsoft.com","DCH","8075","Microsoft Corporation"
"83380915","83380915","PUB","CA","Canada","Quebec","Quebec","Microsoft Corporation","microsoft.com","DCH","8075","Microsoft Corporation"
"83978984","83978986","DCH","IQ","Iraq","Baghdad","Baghdad","Optimal Solutions Technology Company for information Technology and software solutions Ltd","optimumsol.net","DCH","198735","Optimal Solutions Technology Company for information Technology and software solutions Ltd"
"84422106","84422126","DCH","RU","Russian Federation","Sankt-Peterburg","Saint Petersburg","Petersburg Internet Network Ltd.","pinspb.ru","DCH","39556","Pin Hosting Europe GmbH"
"84484641","84484641","DCH","DE","Germany","Sachsen","Falkenstein","Hetzner Online GmbH","hetzner.de","DCH","24940","Hetzner Online GmbH"
"84520000","84520007","DCH","DE","Germany","Sachsen","Falkenstein","Rosenthal EDV-Consulting","compcom.de","DCH","24940","Hetzner Online GmbH"
"84548479","84548497","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Redbourn","Amito Ltd","amito.com","DCH","60610","Amito Ltd"
"85376578","85376640","DCH","RS","Serbia","Beograd","Belgrade","United Group Network Infrastructure d.o.o. Beograd","absolutsolutions.rs","DCH","31042","Serbia Broadband-Srpske Kablovske Mreze D.O.O."
"86169976","86169976","PUB","US","United States of America","California","Los Angeles","Akari Networks Limited","akrn.net","DCH","38136","Akari Networks Limited"
"86212909","86212910","DCH","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz","Limited Liability Company Irtelcom","irtelcom.ru","DCH","43530","Limited Liability Company Irtelcom"
"86216932","86216932","PUB","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz","Limited Liability Company Irtelcom","irtelcom.ru","DCH","43530","Limited Liability Company Irtelcom"
"86219861","86219861","DCH","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz","Limited Liability Company Irtelcom","irtelcom.ru","DCH","43530","Limited Liability Company Irtelcom"
"86230638","86230640","VPN","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Lunarnaut LLC","lunarnaut.com","DCH","2856","British Telecommunications Plc"
"86500102","86500216","DCH","FR","France","Ile-de-France","Paris","DSTORAGE s.a.s.","dstorage.fr","DCH","198792","DSTORAGE s.a.s."
"86651652","86651652","PUB","RU","Russian Federation","Moskovskaya oblast'","Kolomna","Rost LLC","colomna.net","DCH","39493","CJSC Kolomna-Sviaz TV"
"86781423","86781424","PUB","RU","Russian Federation","Sankt-Peterburg","Saint Petersburg","JSC Selectel","selectel.com","DCH","49505","JSC Selectel"
"87361149","87361165","DCH","ES","Spain","Catalunya","Barcelona","Telefonica Global Solutions SL","telefonica.com","DCH","12956","TELXIUS Cable"
"87590259","87590259","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","Aria Web Development LLC","ariawebco.net","DCH","215419","Karizanta Ltd"
"87890651","87890651","PUB","IR","Iran (Islamic Republic of)","Gilan","Rasht","Negah Roshan Pars - Parsdev Iran Network","nrp.co","DCH","58262","Negah Roshan Pars Company (PJS)"
"88842080","88842106","DCH","DE","Germany","Bayern","Nuremberg","Hetzner Online GmbH","hetzner.de","DCH","24940","Hetzner Online GmbH"
"89003304","89003316","DCH","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH","hetzner.de","DCH","212317","Hetzner Online GmbH"
"89011251","89011263","DCH","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH","hetzner.de","DCH","212317","Hetzner Online GmbH"
"89020671","89020671","DCH","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH","hetzner.de","DCH","212317","Hetzner Online GmbH"
"89030688","89030688","PUB","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH","hetzner.de","DCH","212317","Hetzner Online GmbH"
"89046533","89046535","DCH","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH","hetzner.de","DCH","212317","Hetzner Online GmbH"
"89099413","89099413","PUB","RU","Russian Federation","Chelyabinskaya oblast'","Miass","Intersvyaz-2 JSC","is74.ru","ISP","8369","Intersvyaz-2 JSC"
"90541442","90541442","VPN","GB","United Kingdom of Great Britain and Northern Ireland","England","Coventry","SAM007","ukservers.com","DCH","42831","UK Dedicated Servers Limited"
"90596391","90596391","DCH","CA","Canada","Quebec","Montreal","Super Link Communications Co. Ltd","superlink.ps","DCH","62240","Clouvider Limited"
"90601349","90601350","PUB","TR","Turkiye","Istanbul","Istanbul","Super Link Communications Co. Ltd","superlink.ps","DCH","29802","Hivelocity Inc."
